core_id,layer_group_id,layer_group_type,duration(us),inst_num,cache_miss,ALU,LT(Cycles),CT(Cycles),iodma_rd(B),iodma_wr(B),shrm_rd(B),shrm_wr(B),broadcast(B)
2,7777,ACTIVE,41.6,314,9,124,0,1355,34432,32128,0,0,0
2,RPAS_8090,CONCAT,4.32,96,4,27,0,0,0,128,0,0,0
2,RPAS_8091,CONCAT,4.2,96,4,27,0,0,0,128,0,0,0
2,RPAS_8412,NOTIFY,6.44,96,4,27,0,0,0,128,0,0,0
2,RPAS_8088,CONCAT,5.16,96,4,27,0,0,0,128,0,0,0
2,RPAS_8411,NOTIFY,3.48,96,4,27,0,0,0,128,0,0,0
2,RPAS_8689,POLL,3.2,96,4,27,0,0,0,128,0,0,0
2,RPAS_8089,CONCAT,4.72,96,4,27,0,0,0,128,0,0,0
2,RPAS_8472,POLL,6.16,96,4,27,0,0,0,128,0,0,0
2,5688,TFU,98.08,155,3,25,10036,7018,0,128,256000,128000,0
2,RPAS_8176,NOTIFY,6.08,96,4,27,0,0,0,128,0,0,0
2,RPAS_8583,POLL,5.68,96,4,27,0,0,0,128,0,0,0
2,RPAS_7778,ACTIVE,4.64,96,4,27,0,0,0,128,0,0,0
2,RPAS_8256,NOTIFY,4.36,96,4,27,0,0,0,128,0,0,0
2,RPAS_8584,POLL,4.16,96,4,27,0,0,0,128,0,0,0
2,RPAS_7779,MULT,5.96,96,4,27,0,0,0,128,0,0,0
2,RPAS_8092,SPLIT,5.28,96,4,27,0,0,0,128,0,0,0
2,7781,MOVE,4.96,106,5,30,0,0,0,128,0,0,0
2,7780,CONV,321.64,451,5,231,27000,9308,385152,32128,0,0,0
2,7783,ACTIVE,61.68,314,9,124,0,1355,34432,32128,0,0,0
2,RPAS_8093,CONCAT,4.96,96,4,27,0,0,0,128,0,0,0
2,RPAS_8094,CONCAT,4.4,96,4,27,0,0,0,128,0,0,0
2,RPAS_8413,NOTIFY,7.6,96,4,27,0,0,0,128,0,0,0
2,RPAS_8095,CONCAT,7.2,96,4,27,0,0,0,128,0,0,0
2,RPAS_8096,CONCAT,4.4,96,4,27,0,0,0,128,0,0,0
2,RPAS_8414,NOTIFY,3.88,96,4,27,0,0,0,128,0,0,0
2,RPAS_8473,POLL,3.48,96,4,27,0,0,0,128,0,0,0
2,5689,TFU,93.64,155,3,25,10036,7018,0,128,256000,128000,0
2,RPAS_8177,NOTIFY,5.6,96,4,27,0,0,0,128,0,0,0
2,RPAS_8585,POLL,5.24,96,4,27,0,0,0,128,0,0,0
2,RPAS_7784,ACTIVE,6.16,96,4,27,0,0,0,128,0,0,0
2,RPAS_8257,NOTIFY,6.16,96,4,27,0,0,0,128,0,0,0
2,RPAS_8586,POLL,5.72,96,4,27,0,0,0,128,0,0,0
2,RPAS_7785,MULT,11.24,96,4,27,0,0,0,128,0,0,0
2,RPAS_8097,SPLIT,3.36,96,4,27,0,0,0,128,0,0,0
2,7787,MOVE,4.76,106,5,30,0,0,0,128,0,0,0
2,7786,CONV,312.76,451,5,231,27000,9308,385152,32128,0,0,0
2,7789,ACTIVE,53.88,314,9,124,0,1355,34432,32128,0,0,0
2,RPAS_8098,CONCAT,4.56,96,4,27,0,0,0,128,0,0,0
2,RPAS_8415,NOTIFY,4.48,96,4,27,0,0,0,128,0,0,0
2,RPAS_8690,POLL,4.28,96,4,27,0,0,0,128,0,0,0
2,RPAS_8099,CONCAT,3.32,96,4,27,0,0,0,128,0,0,0
2,RPAS_8416,NOTIFY,4.8,96,4,27,0,0,0,128,0,0,0
2,RPAS_8100,CONCAT,3.08,96,4,27,0,0,0,128,0,0,0
2,RPAS_8417,NOTIFY,6.68,96,4,27,0,0,0,128,0,0,0
2,RPAS_8691,POLL,2.88,96,4,27,0,0,0,128,0,0,0
2,RPAS_8101,CONCAT,2.96,96,4,27,0,0,0,128,0,0,0
2,RPAS_8418,NOTIFY,3.2,96,4,27,0,0,0,128,0,0,0
2,RPAS_8474,POLL,2.56,96,4,27,0,0,0,128,0,0,0
2,5690,TFU,100.4,155,3,25,10036,7018,0,128,256000,128000,0
2,RPAS_8178,NOTIFY,5.36,96,4,27,0,0,0,128,0,0,0
2,RPAS_8587,POLL,5.32,96,4,27,0,0,0,128,0,0,0
2,RPAS_7790,ACTIVE,4.36,96,4,27,0,0,0,128,0,0,0
2,RPAS_8258,NOTIFY,4.24,96,4,27,0,0,0,128,0,0,0
2,RPAS_8588,POLL,5.84,96,4,27,0,0,0,128,0,0,0
2,RPAS_7791,MULT,4.68,96,4,27,0,0,0,128,0,0,0
2,RPAS_8102,SPLIT,4.32,96,4,27,0,0,0,128,0,0,0
2,7793,MOVE,4.64,106,5,30,0,0,0,128,0,0,0
2,7792,CONV,308.64,449,5,229,27000,9308,385024,32128,0,0,0
2,7795,ACTIVE,26.76,310,9,120,0,1355,34176,32128,0,0,0
2,7796,MULT,29.68,212,8,83,0,250,64128,32128,0,0,0
2,RPAS_8103,CONCAT,6.24,96,4,27,0,0,0,128,0,0,0
2,RPAS_7797,CONCAT,6.08,96,4,27,0,0,0,128,0,0,0
2,7798,CONV,175.28,190,5,79,10000,6012,257536,64128,0,0,0
2,7801,ACTIVE,105.32,314,9,124,0,2605,66432,64128,0,0,0
2,RPAS_8104,CONCAT,4.52,96,4,27,0,0,0,128,0,0,0
2,RPAS_8105,CONCAT,4.72,96,4,27,0,0,0,128,0,0,0
2,RPAS_8419,NOTIFY,6.08,96,4,27,0,0,0,128,0,0,0
2,RPAS_8106,CONCAT,6.92,96,4,27,0,0,0,128,0,0,0
2,RPAS_8107,CONCAT,6.84,96,4,27,0,0,0,128,0,0,0
2,RPAS_8420,NOTIFY,4.12,96,4,27,0,0,0,128,0,0,0
2,RPAS_8475,POLL,3.56,96,4,27,0,0,0,128,0,0,0
2,5691,TFU,174.44,155,3,25,20036,10018,0,128,512000,128000,0
2,RPAS_8179,NOTIFY,5,96,4,27,0,0,0,128,0,0,0
2,RPAS_8589,POLL,5.08,96,4,27,0,0,0,128,0,0,0
2,RPAS_7802,ACTIVE,4.6,96,4,27,0,0,0,128,0,0,0
2,RPAS_8259,NOTIFY,4.48,96,4,27,0,0,0,128,0,0,0
2,RPAS_8590,POLL,4.16,96,4,27,0,0,0,128,0,0,0
2,RPAS_7803,MULT,4.24,96,4,27,0,0,0,128,0,0,0
2,RPAS_8260,NOTIFY,4.16,96,4,27,0,0,0,128,0,0,0
2,RPAS_8591,POLL,4.64,96,4,27,0,0,0,128,0,0,0
2,RPAS_7804,INTERP,76.44,96,4,27,0,0,0,128,0,0,0
2,RPAS_8261,NOTIFY,6.36,96,4,27,0,0,0,128,0,0,0
2,RPAS_8693,POLL,3.36,96,4,27,0,0,0,128,0,0,0
2,RPAS_8113,SPLIT,5.56,96,4,27,0,0,0,128,0,0,0
2,RPAS_8424,NOTIFY,9.2,96,4,27,0,0,0,128,0,0,0
2,RPAS_8592,POLL,3.68,96,4,27,0,0,0,128,0,0,0
2,RPAS_7805,CONCAT,3.84,96,4,27,0,0,0,128,0,0,0
2,RPAS_8262,NOTIFY,3.8,96,4,27,0,0,0,128,0,0,0
2,RPAS_8593,POLL,5.08,96,4,27,0,0,0,128,0,0,0
2,RPAS_7806,CONV,5.44,96,4,27,0,0,0,128,0,0,0
2,RPAS_8263,NOTIFY,6.32,96,4,27,0,0,0,128,0,0,0
2,RPAS_8596,POLL,5.08,96,4,27,0,0,0,128,0,0,0
2,RPAS_7811,CONV,7.52,96,4,27,0,0,0,128,0,0,0
2,RPAS_8266,NOTIFY,5.8,96,4,27,0,0,0,128,0,0,0
2,RPAS_8594,POLL,7.36,96,4,27,0,0,0,128,0,0,0
2,RPAS_7809,ACTIVE,5,96,4,27,0,0,0,128,0,0,0
2,RPAS_8264,NOTIFY,6.36,96,4,27,0,0,0,128,0,0,0
2,RPAS_8597,POLL,6.92,96,4,27,0,0,0,128,0,0,0
2,RPAS_7814,ACTIVE,6.8,96,4,27,0,0,0,128,0,0,0
2,RPAS_8267,NOTIFY,3.64,96,4,27,0,0,0,128,0,0,0
2,RPAS_8476,POLL,6.24,96,4,27,0,0,0,128,0,0,0
2,5692,TFU,137.16,155,3,25,10036,14018,0,128,512000,256000,0
2,RPAS_8180,NOTIFY,4.28,96,4,27,0,0,0,128,0,0,0
2,RPAS_8595,POLL,4.96,96,4,27,0,0,0,128,0,0,0
2,RPAS_7810,MULT,5.36,96,4,27,0,0,0,128,0,0,0
2,RPAS_8265,NOTIFY,5.36,96,4,27,0,0,0,128,0,0,0
