core_id,layer_group_id,layer_group_type,duration(us),inst_num,cache_miss,gdma_rd(Bytes),gdma_wr(Bytes),cdma0_recv(B),cmda0_wr(B),cdma1_recv(B),cmda1_wr(B)
2,8228,NOTIFY,4.24,83,4,0,128,0,0,0,0
2,7655,ACTIVE,2.88,83,4,0,128,0,0,0,0
2,8535,POLL,3.72,83,4,0,128,0,0,0,0
2,7650,MULT,4.32,83,4,0,128,0,0,0,0
2,8070,CONCAT,5.76,83,4,0,128,0,0,0,0
2,8399,NOTIFY,5.72,83,4,0,128,0,0,0,0
2,7656,MULT,7.52,83,4,0,128,0,0,0,0
2,7657,CONV,532.36,143,5,36864,128,0,0,0,0
2,7659,ADD,1.84,83,4,0,128,0,0,0,0
2,8229,NOTIFY,1.68,83,4,0,128,0,0,0,0
2,8002,CONCAT,2.28,83,4,0,128,0,0,0,0
2,8536,POLL,1.68,83,4,0,128,0,0,0,0
2,7661,ACTIVE,2.08,83,4,0,128,0,0,0,0
2,7998,CONCAT,1.72,83,4,0,128,0,0,0,0
2,8349,NOTIFY,1.68,83,4,0,128,0,0,0,0
2,8664,POLL,1.68,83,4,0,128,0,0,0,0
2,7999,CONCAT,1.64,83,4,0,128,0,0,0,0
2,8350,NOTIFY,2.2,83,4,0,128,0,0,0,0
2,8665,POLL,1.72,83,4,0,128,0,0,0,0
2,8000,CONCAT,1.68,83,4,0,128,0,0,0,0
2,8351,NOTIFY,1.76,83,4,0,128,0,0,0,0
2,8666,POLL,1.72,83,4,0,128,0,0,0,0
2,8001,CONCAT,2.12,83,4,0,128,0,0,0,0
2,8352,NOTIFY,2.36,83,4,0,128,0,0,0,0
2,8457,POLL,3.28,83,4,0,128,0,0,0,0
2,5673,TFU,33.96,79,2,237568,128,491520,491520,245760,245760
2,8161,NOTIFY,3.4,83,4,0,128,0,0,0,0
2,8537,POLL,2.8,83,4,0,128,0,0,0,0
2,7662,ACTIVE,3.12,83,4,0,128,0,0,0,0
2,8230,NOTIFY,4.84,83,4,0,128,0,0,0,0
2,8538,POLL,8.52,83,4,0,128,0,0,0,0
2,7663,MULT,4.32,83,4,0,128,0,0,0,0
2,8003,SPLIT,4.52,83,4,0,128,0,0,0,0
2,8353,NOTIFY,4.6,83,4,0,128,0,0,0,0
2,8539,POLL,5.2,83,4,0,128,0,0,0,0
2,7664,ADD,5.24,83,4,0,128,0,0,0,0
2,8004,SPLIT,4.32,83,4,0,128,0,0,0,0
2,7665,CONV,545.68,160,5,25600,128,25600,25600,51200,51200
2,7668,ACTIVE,3.28,83,4,0,128,0,0,0,0
2,8007,CONCAT,2,83,4,0,128,0,0,0,0
2,8355,NOTIFY,1.96,83,4,0,128,0,0,0,0
2,8667,POLL,2.56,83,4,0,128,0,0,0,0
2,8008,CONCAT,3.88,83,4,0,128,0,0,0,0
2,8356,NOTIFY,5.52,83,4,0,128,0,0,0,0
2,8005,CONCAT,2.92,83,4,0,128,0,0,0,0
2,8006,CONCAT,2.12,83,4,0,128,0,0,0,0
2,8354,NOTIFY,1.68,83,4,0,128,0,0,0,0
2,8458,POLL,1.76,83,4,0,128,0,0,0,0
2,5674,TFU,28.88,79,2,237568,128,491520,491520,245760,245760
2,8162,NOTIFY,4.56,83,4,0,128,0,0,0,0
2,8540,POLL,4.72,83,4,0,128,0,0,0,0
2,7669,ACTIVE,4.36,83,4,0,128,0,0,0,0
2,8231,NOTIFY,4.4,83,4,0,128,0,0,0,0
2,8541,POLL,5.88,83,4,0,128,0,0,0,0
2,7670,MULT,5.36,83,4,0,128,0,0,0,0
2,8009,SPLIT,4.72,83,4,0,128,0,0,0,0
2,8357,NOTIFY,5.44,83,4,0,128,0,0,0,0
2,8542,POLL,4.92,83,4,0,128,0,0,0,0
2,7671,ADD,5.44,83,4,0,128,0,0,0,0
2,8232,NOTIFY,3.6,83,4,0,128,0,0,0,0
2,8010,SPLIT,1.6,83,4,0,128,0,0,0,0
2,7672,CONV,555.8,160,5,25600,128,25600,25600,51200,51200
2,7675,ACTIVE,3.44,83,4,0,128,0,0,0,0
2,8011,CONCAT,3.04,83,4,0,128,0,0,0,0
2,8358,NOTIFY,4.76,83,4,0,128,0,0,0,0
2,8668,POLL,5.16,83,4,0,128,0,0,0,0
2,8012,CONCAT,3.96,83,4,0,128,0,0,0,0
2,8359,NOTIFY,4.76,83,4,0,128,0,0,0,0
2,8013,CONCAT,8.32,83,4,0,128,0,0,0,0
2,8360,NOTIFY,2.32,83,4,0,128,0,0,0,0
2,8669,POLL,2.72,83,4,0,128,0,0,0,0
2,8014,CONCAT,2.6,83,4,0,128,0,0,0,0
2,8361,NOTIFY,3.4,83,4,0,128,0,0,0,0
2,8459,POLL,1.84,83,4,0,128,0,0,0,0
2,5675,TFU,29.36,79,2,237568,128,491520,491520,245760,245760
